etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
114    | #n̪ˈokt̪em# | *#n̪ˈɔxt̪ɛ# {GOLD: #n̪ˈɔxt̪ɛ#} | *#n̪ˈɔxt̪ɛ# | *#n̪ˈuo̯çt̪ʲɛ# | *#n̪ˈʉo̯çt̪# | *#n̪ˈyjt̪# {GOLD: #n̪ˈyjt̪#} | *#n̪ɥˈit̪# {GOLD: #n̪ɥˈit̪#} | *#n̪ɥˈit̪# {GOLD: #n̪ɥˈit̪#} | *#n̪ɥi# {GOLD: #n̪ɥi#}
115    | #hˈod̪ie# | *#hˈɔʝʝɛ# {GOLD: #hˈɔʝʝɛ#} | *#hˈɔʝʝɛ# | *#ˈuo̯ʝɛ# | *#ˈʉo̯j# | *#ˈyj# {GOLD: #ˈyj#} | *#ɥˈi# {GOLD: #ɥˈi#} | *#ɥˈi# {GOLD: #ɥˈi#} | *#ɥi# {GOLD: #ɥi#}
116    | #t̪ˌormˈen̪t̪um# | *#t̪ˌɔrmˈɛn̪t̪o# {GOLD: #t̪ˌɔrmˈɛn̪t̪o#} | *#t̪ˌɔrmˈɛn̪t̪o# | *#t̪ˌɔrmˈɛn̪t̪o# | *#t̪ˌormˈɛn̪t̪# | *#t̪ˌormˈɛ̃n̪t̪# {GOLD: #t̪ˌormˈɛ̃n̪t̪#} | *#t̪ˌurmˈãn̪t̪# {GOLD: #t̪ˌurmˈãn̪t̪#} | *#t̪ˌurmˈãːt̪# {GOLD: #t̪ˌurmˈãːt̪#} | *#t̪uʁmɑ̃# {GOLD: #t̪uʁmɑ̃#}
117    | #mˌorˈiːri# | *#mˌɔrˈire# {GOLD: #mˌɔrˈire#} | *#mˌɔrˈiːre# | *#mˌɔrˈiːre# | *#mˌorˈiːr# | *#mˌorˈir# {GOLD: #mˌorˈir#} | *#mˌurˈir# {GOLD: #mˌurˈir#} | *#mˌurˈir# {GOLD: #mˌurˈir#} | *#muʁiʁ# {GOLD: #muʁiʁ#}
118    | #d̪ˌubit̪ˈɑːre# | *#d̪ˌoβet̪ˈɑrɛ# {GOLD: #d̪ˌoβet̪ˈɑrɛ#} | *#d̪ˌoβet̪ˈɑːrɛ# | *#d̪ˌoβt̪ˈaːrɛ# | *#d̪ˌod̪d̪ˈae̯r# | *#d̪ˌod̪ˈeːr# {GOLD: #d̪ˌot̪ˈeːr#} | *#d̪ˌud̪ˈer# {GOLD: #d̪ˌut̪ˈer#} | *#d̪ˌud̪ˈer# {GOLD: #d̪ˌut̪ˈer#} | *#d̪ud̪e# {GOLD: #d̪ut̪e#}
119    | #n̪ˌoːd̪ˈɑːre# | *#n̪ˌod̪ˈɑrɛ# {GOLD: #n̪ˌod̪ˈɑrɛ#} | *#n̪ˌoðˈɑːrɛ# | *#n̪ˌoðˈaːrɛ# | *#n̪ˌoðˈae̯r# | *#n̪ˌoðˈeːr# {GOLD: #n̪ˌoðˈeːr#} | *#n̪ˌuˈer# {GOLD: #n̪ˌuˈer#} | *#n̪ˌuˈer# {GOLD: #n̪ˌuˈer#} | *#n̪we# {GOLD: #n̪we#}
120    | #fˌon̪t̪ˈɑːn̪ɑm# | *#fˌɔn̪t̪ˈɑn̪ɑ# {GOLD: #fˌɔn̪t̪ˈɑn̪ɑ#} | *#fˌɔn̪t̪ˈɑːn̪ɑ# | *#fˌũn̪t̪ˈaːn̪a# | *#fˌũn̪t̪ˈae̯n̪a# | *#fˌũn̪t̪ˈãj̃n̪ə# {GOLD: #fˌun̪t̪ˈãj̃n̪ə#} | *#fˌũn̪t̪ˈɛ̃j̃n̪ə# {GOLD: #fˌũn̪t̪ˈɛ̃j̃n̪ə#} | *#fˌũːt̪ˈɛ̃n̪ə# {GOLD: #fˌũːt̪ˈɛ̃n̪ə#} | *#fɔ̃t̪ɛn̪# {GOLD: #fɔ̃t̪ɛn̪#}
121    | #fˌun̪d̪ˈɑːre# | *#fˌon̪d̪ˈɑrɛ# {GOLD: #fˌon̪d̪ˈɑrɛ#} | *#fˌon̪d̪ˈɑːrɛ# | *#fˌũn̪d̪ˈaːrɛ# | *#fˌũn̪d̪ˈae̯r# | *#fˌũn̪d̪ˈeːr# {GOLD: #fˌun̪d̪ˈeːr#} | *#fˌũn̪d̪ˈer# {GOLD: #fˌũn̪d̪ˈer#} | *#fˌũːd̪ˈer# {GOLD: #fˌũːd̪ˈer#} | *#fɔ̃d̪e# {GOLD: #fɔ̃d̪e#}
122    | #hˌon̪ˈoːrem# | *#hˌɔn̪ˈorɛ# {GOLD: #hˌɔn̪ˈorɛ#} | *#hˌɔn̪ˈoːrɛ# | *#ˌũn̪ˈoːrɛ# | *#ˌũn̪ˈowr# | *#ˌũn̪ˈowr# {GOLD: #ˌun̪ˈowr#} | *#ˌũn̪ˈør# {GOLD: #ˌũn̪ˈør#} | *#ˌũn̪ˈør# {GOLD: #ˌũn̪ˈør#} | *#ɔn̪œʁ# {GOLD: #ɔn̪œʁ#}
123    | #d̪ˌoːn̪ˈɑːre# | *#d̪ˌon̪ˈɑrɛ# {GOLD: #d̪ˌon̪ˈɑrɛ#} | *#d̪ˌon̪ˈɑːrɛ# | *#d̪ˌũn̪ˈaːrɛ# | *#d̪ˌũn̪ˈae̯r# | *#d̪ˌũn̪ˈeːr# {GOLD: #d̪ˌun̪ˈeːr#} | *#d̪ˌũn̪ˈer# {GOLD: #d̪ˌũn̪ˈer#} | *#d̪ˌũn̪ˈer# {GOLD: #d̪ˌũn̪ˈer#} | *#d̪ɔn̪e# {GOLD: #d̪ɔn̪e#}
124    | #sˌolid̪ˈɑːre# | *#sˌɔled̪ˈɑrɛ# {GOLD: #sˌɔled̪ˈɑrɛ#} | *#sˌɔleðˈɑːrɛ# | *#sˌɔlðˈaːrɛ# | *#sˌɔld̪ˈae̯r# | *#sˌɔɫd̪ˈeːr# {GOLD: #sˌɔɫd̪ˈeːr#} | *#sˌud̪ˈer# {GOLD: #sˌud̪ˈer#} | *#sˌud̪ˈer# {GOLD: #sˌud̪ˈer#} | *#sud̪e# {GOLD: #sud̪e#}
125    | #kˌulpˈɑbilem# | *#kˌoɫpˈɑβelɛ# {GOLD: #kˌoɫpˈɑblɛ#} | *#kˌoɫpˈɑːβelɛ# | *#kˌoɫpˈaːβelɛ# | *#kˌoɫpˈablə# | *#kˌoɫpˈablə# {GOLD: #kˌoɫpˈablə#} | *#kˌupˈablə# {GOLD: #kˌupˈablə#} | *#kˌupˈablə# {GOLD: #kˌupˈablə#} | *#kupabl# {GOLD: #kupabl#}
126    | #kˌun̪eˈɑːt̪ɑm# | *#kˌon̪ʝˈɑt̪ɑ# {GOLD: #kˌon̪ʝˈɑt̪ɑ#} | *#kˌoɲˈɑːt̪ɑ# | *#kˌũɲˈie̯t̪a# | *#kˌũɲˈie̯ða# | *#kˌũɲˈie̯ðə# {GOLD: #kˌuɲˈie̯ðə#} | *#kˌũɲjˈeə# {GOLD: #kˌũɲjˈeə#} | *#kˌũɲˈeː# {GOLD: #kˌũɲˈeː#} | *#kɔɲe# {GOLD: #kɔɲe#}
127    | #pˌun̪kt̪ˈuːrɑm# | *#pˌoŋt̪ˈurɑ# {GOLD: #pˌoŋt̪ˈurɑ#} | *#pˌoŋt̪ˈuːrɑ# | *#pˌũɲt̪ʲˈʉːra# | *#pˌũɲt̪ˈʉːra# | *#pˌũj̃n̪t̪ˈyrə# {GOLD: #pˌuj̃n̪t̪ˈyrə#} | *#pwˌĩn̪t̪ˈyrə# {GOLD: #pwˌĩn̪t̪ˈyrə#} | *#pwˌɛ̃ːt̪ˈyrə# {GOLD: #pwˌɛ̃ːt̪ˈyrə#} | *#pwɛ̃t̪yʁ# {GOLD: #pwɛ̃t̪yʁ#}
128    | #bˌulliˈen̪t̪em# | *#bˌollʝˈɛn̪t̪ɛ# {GOLD: #bˌollʝˈɛn̪t̪ɛ#} | *#bˌoʎˈɛn̪t̪ɛ# | *#bˌoʎˈɛn̪t̪ɛ# | *#bˌoʎˈɛn̪t̪# | *#bˌoʎˈɛ̃n̪t̪# {GOLD: #bˌoʎˈɛ̃n̪t̪#} | *#bˌuʎˈãn̪t̪# {GOLD: #bˌuʎˈãn̪t̪#} | *#bˌuʎˈãːt̪# {GOLD: #bˌuʎˈãːt̪#} | *#bujɑ̃# {GOLD: #bujɑ̃#}
129    | #mˌod̪iˈolum# | *#mˌɔʝʝˈɔlo# {GOLD: #mˌɔʝʝˈɔlo#} | *#mˌɔʝʝˈɔːlo# | *#mˌoʝˈʉo̯lo# | *#mˌojˈʉo̯l# | *#mˌojˈye̯l# {GOLD: #mˌojˈye̯l#} | *#mwˌɛjˈøl# {GOLD: #mwˌɛˈøl#} | *#mwˌɛjˈøl# {GOLD: #mwˌɛjˈøl#} | *#mwajœl# {GOLD: #mwajø#}
130    | #t̪ˌoːn̪siˈoːn̪em# | *#t̪ˌosʝˈon̪ɛ# {GOLD: #t̪ˌosʝˈon̪ɛ#} | *#t̪ˌosʝˈoːn̪ɛ# | *#t̪ˌozʲˈũːn̪ɛ# | *#t̪ˌojzˈũːn̪# | *#t̪ˌojzˈũn̪# {GOLD: #t̪ˌojzˈun̪#} | *#t̪wˌɛzˈũn̪# {GOLD: #t̪wˌɛzˈũn̪#} | *#t̪wˌɛzˈũː# {GOLD: #t̪wˌɛzˈũː#} | *#t̪wazɔ̃# {GOLD: #t̪wazɔ̃#}
131    | #ɡˈut̪t̪ɑm# | *#ɡˈot̪t̪ɑ# {GOLD: #ɡˈot̪t̪ɑ#} | *#ɡˈot̪t̪ɑ# | *#ɡˈot̪t̪a# | *#ɡˈot̪t̪a# | *#ɡˈot̪ə# {GOLD: #ɡˈot̪ə#} | *#ɡˈut̪ə# {GOLD: #ɡˈut̪ə#} | *#ɡˈut̪ə# {GOLD: #ɡˈut̪ə#} | *#ɡut̪# {GOLD: #ɡut̪#}
132    | #kˌohˈort̪em# | *#kˈort̪ɛ# {GOLD: #kˈort̪ɛ#} | *#kˈort̪ɛ# | *#kˈort̪ɛ# | *#kˈort̪# | *#kˈort̪# {GOLD: #kˈort̪#} | *#kˈurt̪# {GOLD: #kˈurt̪#} | *#kˈurt̪# {GOLD: #kˈurt̪#} | *#kuʁ# {GOLD: #kuʁ#}
133    | #kˈubit̪um# | *#kˈoβet̪o# {GOLD: #kˈoβet̪o#} | *#kˈoɸt̪o# | *#kˈoɸt̪o# | *#kˈot̪t̪ə# | *#kˈot̪ə# {GOLD: #kˈod̪ə#} | *#kˈut̪ə# {GOLD: #kˈud̪ə#} | *#kˈut̪ə# {GOLD: #kˈud̪ə#} | *#kut̪# {GOLD: #kud̪#}
134    | #fˈun̪d̪us# | *#fˈon̪d̪os# {GOLD: #fˈon̪d̪os#} | *#fˈon̪d̪os# | *#fˈũn̪d̪os# | *#fˈũn̪t͡s# | *#fˈũn̪t͡s# {GOLD: #fˈun̪t͡s#} | *#fˈũn̪s# {GOLD: #fˈũn̪s#} | *#fˈũːs# {GOLD: #fˈũːs#} | *#fɔ̃# {GOLD: #fɔ̃#}
135    | #sˈummɑm# | *#sˈommɑ# {GOLD: #sˈommɑ#} | *#sˈommɑ# | *#sˈũmma# | *#sˈũmma# | *#sˈũmə# {GOLD: #sˈumə#} | *#sˈũmə# {GOLD: #sˈũmə#} | *#sˈũmə# {GOLD: #sˈũmə#} | *#sɔm# {GOLD: #sɔm#}
136    | #pˈulwerem# | *#pˈoɫβʷɛrɛ# {GOLD: #pˈoɫβɛrɛ#} | *#pˈoɫβʷɛrɛ# | *#pˈolld̪rɛ# | *#pˈolld̪rə# | *#pˈoɫd̪rə# {GOLD: #pˈoɫd̪rə#} | *#pˈud̪rə# {GOLD: #pˈud̪rə#} | *#pˈud̪rə# {GOLD: #pˈud̪rə#} | *#pud̪ʁ# {GOLD: #pud̪ʁ#}
137    | #illˈoːrum# | *#ellˈoro# {GOLD: #ellˈoro#} | *#ellˈoːro# | *#ellˈoːro# | *#lˈowr# | *#lˈowr# {GOLD: #lˈowr#} | *#lˈør# {GOLD: #lˈør#} | *#lˈør# {GOLD: #lˈør#} | *#lœʁ# {GOLD: #lœʁ#}
138    | #n̪ˈoːd̪um# | *#n̪ˈod̪o# {GOLD: #n̪ˈod̪o#} | *#n̪ˈoːðo# | *#n̪ˈoːðo# | *#n̪ˈowð# | *#n̪ˈowθ# {GOLD: #n̪ˈowθ#} | *#n̪ˈø# {GOLD: #n̪ˈø#} | *#n̪ˈø# {GOLD: #n̪ˈø#} | *#n̪ø# {GOLD: #n̪ø#}
139    | #d̪ˈoːn̪um# | *#d̪ˈon̪o# {GOLD: #d̪ˈon̪o#} | *#d̪ˈoːn̪o# | *#d̪ˈũːn̪o# | *#d̪ˈũːn̪# | *#d̪ˈũn̪# {GOLD: #d̪ˈun̪#} | *#d̪ˈũn̪# {GOLD: #d̪ˈũn̪#} | *#d̪ˈũː# {GOLD: #d̪ˈũː#} | *#d̪ɔ̃# {GOLD: #d̪ɔ̃#}
140    | #d̪ˈoːn̪ɑt̪# | *#d̪ˈon̪ɑt̪# {GOLD: #d̪ˈon̪ɑt̪#} | *#d̪ˈoːn̪ɑt̪# | *#d̪ˈũːn̪at̪# | *#d̪ˈũːn̪aθ# | *#d̪ˈũn̪əθ# {GOLD: #d̪ˈun̪əθ#} | *#d̪ˈũn̪ə# {GOLD: #d̪ˈũn̪ə#} | *#d̪ˈũn̪ə# {GOLD: #d̪ˈũn̪ə#} | *#d̪ɔn̪# {GOLD: #d̪ɔn̪#}
141    | #lˈupɑm# | *#lˈopɑ# {GOLD: #lˈopɑ#} | *#lˈoːpɑ# | *#lˈoːpa# | *#lˈowva# | *#lˈuvə# {GOLD: #lˈuvə#} | *#lˈuvə# {GOLD: #lˈuvə#} | *#lˈuvə# {GOLD: #lˈuvə#} | *#luv# {GOLD: #luv#}
142    | #kˈoːleɑm# | *#kˈolʝɑ# {GOLD: #kˈolʝɑ#} | *#kˈoːʎɑ# | *#kˈoʎa# | *#kˈoʎa# | *#kˈoʎə# {GOLD: #kˈoʎə#} | *#kˈuʎə# {GOLD: #kˈuʎə#} | *#kˈuʎə# {GOLD: #kˈuʎə#} | *#kuj# {GOLD: #kuj#}
143    | #fˈulɡerem# | *#fˈoɫɟɛrɛ# {GOLD: #fˈoɫɟɛrɛ#} | *#fˈoɫɟɛrɛ# | *#fˈolʲd̪ʲrɛ# | *#fˈolʲd̪rə# | *#fˈoɫd̪rə# {GOLD: #fˈoɫd̪rə#} | *#fˈud̪rə# {GOLD: #fˈud̪rə#} | *#fˈud̪rə# {GOLD: #fˈud̪rə#} | *#fud̪ʁ# {GOLD: #fud̪ʁ#}
144    | #wˌereːkˈun̪d̪iɑm# | *#βʷˌɛrekˈon̪ɟʝɑ# {GOLD: #βˌɛrekˈon̪ɟʝɑ#} | *#βʷˌɛrekˈon̪ɟɑ# | *#βˌɛrɡˈũːɲa# | *#vˌɛrɡˈũɲa# | *#vˌɛrɡˈũɲə# {GOLD: #vˌɛrɡˈuɲə#} | *#vˌɛrɡˈũɲə# {GOLD: #vˌɛrɡˈũɲə#} | *#vˌɛrɡˈũɲə# {GOLD: #vˌɛrɡˈũɲə#} | *#vɛʁɡɔɲ# {GOLD: #vɛʁɡɔɲ#}
145    | #pˈun̪kt̪um# | *#pˈoŋt̪o# {GOLD: #pˈoŋt̪o#} | *#pˈoŋt̪o# | *#pˈũɲt̪ʲo# | *#pˈũɲt̪# | *#pˈũj̃n̪t̪# {GOLD: #pˈuj̃n̪t̪#} | *#pwˈĩn̪t̪# {GOLD: #pwˈĩn̪t̪#} | *#pwˈɛ̃ːt̪# {GOLD: #pwˈɛ̃ːt̪#} | *#pwɛ̃# {GOLD: #pwɛ̃#}
146    | #kˈun̪eum# | *#kˈon̪ʝo# {GOLD: #kˈon̪ʝo#} | *#kˈoːɲo# | *#kˈũːɲo# | *#kˈũɲ# | *#kˈũj̃ɲ# {GOLD: #kˈuj̃ɲ#} | *#kwˈĩɲ# {GOLD: #kwˈĩɲ#} | *#kwˈɛ̃ː# {GOLD: #kwˈɛ̃ː#} | *#kwɛ̃# {GOLD: #kwɛ̃#}
147    | #n̪ˈukem# | *#n̪ˈocɛ# {GOLD: #n̪ˈocɛ#} | *#n̪ˈoːcɛ# | *#n̪ˈoːt͡sʲɛ# | *#n̪ˈojt͡sʲ# | *#n̪ˈojt͡sʲ# {GOLD: #n̪ˈojt͡s#} | *#n̪wˈɛsʲ# {GOLD: #n̪wˈɛs#} | *#n̪wˈɛs# {GOLD: #n̪wˈɛs#} | *#n̪wa# {GOLD: #n̪wɑ#}
148    | #kˌon̪n̪ˈoːskere# | *#kˌɔn̪n̪ˈoscɛrɛ# {GOLD: #kˌɔŋn̪ˈoscɛrɛ#} | *#kˌɔn̪n̪ˈoscɛrɛ# | *#kˌũn̪n̪ˈosʲt̪ʲrɛ# | *#kˌũn̪n̪ˈojst̪rə# | *#kˌũn̪ˈojst̪rə# {GOLD: #kˌun̪ˈojst̪rə#} | *#kˌũn̪wˈɛːt̪rə# {GOLD: #kˌũn̪wˈɛːt̪rə#} | *#kˌũn̪wˈɛːt̪rə# {GOLD: #kˌũn̪ˈɛːt̪rə#} | *#kɔn̪wat̪ʁ# {GOLD: #kɔn̪ɛt̪ʁ#}
149    | #n̪ˈuːllum# | *#n̪ˈullo# {GOLD: #n̪ˈullo#} | *#n̪ˈullo# | *#n̪ˈʉllo# | *#n̪ˈʉll# | *#n̪ˈyl# {GOLD: #n̪ˈyl#} | *#n̪ˈyl# {GOLD: #n̪ˈyl#} | *#n̪ˈyl# {GOLD: #n̪ˈyl#} | *#n̪yl# {GOLD: #n̪yl#}
150    | #mˈuːrum# | *#mˈuro# {GOLD: #mˈuro#} | *#mˈuːro# | *#mˈʉːro# | *#mˈʉːr# | *#mˈyr# {GOLD: #mˈyr#} | *#mˈyr# {GOLD: #mˈyr#} | *#mˈyr# {GOLD: #mˈyr#} | *#myʁ# {GOLD: #myʁ#}
151    | #ˌuːn̪um# | *#ˌun̪o# {GOLD: #ˌun̪o#} | *#ˌun̪o# | *#ˌʉn̪o# | *#ˌʉn̪# | *#ˌyn̪# {GOLD: #ˌyn̪#} | *#ˌỹn̪# {GOLD: #ˌỹn̪#} | *#ˌỹː# {GOLD: #ˌỹː#} | *#œ̃# {GOLD: #œ̃#}
152    | #ˌuːn̪ɑm# | *#ˌun̪ɑ# {GOLD: #ˌun̪ɑ#} | *#ˌun̪ɑ# | *#ˌʉn̪a# | *#ˌʉn̪a# | *#ˌyn̪ə# {GOLD: #ˌyn̪ə#} | *#ˌỹn̪ə# {GOLD: #ˌỹn̪ə#} | *#ˌyn̪ə# {GOLD: #ˌyn̪ə#} | *#yn̪# {GOLD: #yn̪#}
153    | #kˈuːlloːs# | *#kˈullos# {GOLD: #kˈullos#} | *#kˈullos# | *#kˈʉllos# | *#kˈʉlls# | *#kˈyɫs# {GOLD: #kˈyɫs#} | *#kˈyːs# {GOLD: #kˈys#} | *#kˈyːs# {GOLD: #kˈys#} | *#ky# {GOLD: #ky#}
154    | #iˈuːn̪ium# | *#ʝˈun̪ʝo# {GOLD: #ʝˈun̪ʝo#} | *#ʝˈuːɲo# | *#ʝˈʉːɲo# | *#d͡ʒˈʉɲ# | *#d͡ʒˈyj̃ɲ# {GOLD: #d͡ʒˈyj̃ɲ#} | *#ʒɥˈĩɲ# {GOLD: #ʒɥˈĩɲ#} | *#ʒɥˈẽː# {GOLD: #ʒɥˈẽː#} | *#ʒɥɛ̃# {GOLD: #ʒɥɛ̃#}
155    | #frˈuːkt̪um# | *#frˈuxt̪o# {GOLD: #frˈuxt̪o#} | *#frˈuxt̪o# | *#frˈʉçt̪ʲo# | *#frˈʉçt̪# | *#frˈyjt̪# {GOLD: #frˈyjt̪#} | *#frɥˈit̪# {GOLD: #frɥˈit̪#} | *#frɥˈit̪# {GOLD: #frɥˈit̪#} | *#fʁɥi# {GOLD: #fʁɥi#}
156    | #mˌuːrˈɑːliɑ# | *#mˌurˈɑlʝɑ# {GOLD: #mˌurˈɑlʝɑ#} | *#mˌurˈɑːʎɑ# | *#mˌʉrˈaʎa# | *#mˌʉrˈaʎa# | *#mˌyrˈaʎə# {GOLD: #mˌyrˈaʎə#} | *#mˌyrˈaʎə# {GOLD: #mˌyrˈaʎə#} | *#mˌyrˈaʎə# {GOLD: #mˌyrˈaʎə#} | *#myʁɑj# {GOLD: #myʁɑj#}
157    | #pˌuːrɡˈɑːre# | *#pˌurɡˈɑrɛ# {GOLD: #pˌurɡˈɑrɛ#} | *#pˌurɡˈɑːrɛ# | *#pˌʉrɡʲˈie̯rɛ# | *#pˌʉrd͡ʒˈie̯r# | *#pˌyrd͡ʒˈie̯r# {GOLD: #pˌyrd͡ʒˈie̯r#} | *#pˌyrʒjˈer# {GOLD: #pˌyrʒjˈer#} | *#pˌyrʒˈer# {GOLD: #pˌyrʒˈer#} | *#pyʁʒe# {GOLD: #pyʁʒe#}
158    | #lˌuːn̪isd̪ˈiːem# | *#lˌun̪esd̪ˈiɛ# {GOLD: #lˌun̪esd̪ˈiɛ#} | *#lˌun̪esd̪ˈiːɛ# | *#lˌʉn̪esd̪ˈiːj# | *#lˌʉn̪sd̪ˈiːj# | *#lˌyn̪d̪ˈi# {GOLD: #lˌyn̪zd̪ˈi#} | *#lˌỹn̪d̪ˈi# {GOLD: #lˌỹn̪d̪ˈi#} | *#lˌỹːd̪ˈi# {GOLD: #lˌỹːd̪ˈi#} | *#lœ̃d̪i# {GOLD: #lœ̃d̪i#}
159    | #fˌuːmˈɑːre# | *#fˌumˈɑrɛ# {GOLD: #fˌumˈɑrɛ#} | *#fˌumˈɑːrɛ# | *#fˌʉmˈaːrɛ# | *#fˌʉmˈae̯r# | *#fˌymˈeːr# {GOLD: #fˌymˈeːr#} | *#fˌỹmˈer# {GOLD: #fˌỹmˈer#} | *#fˌymˈer# {GOLD: #fˌymˈer#} | *#fyme# {GOLD: #fyme#}
160    | #pˌuːlikˈellɑm# | *#pˌulecˈɛllɑ# {GOLD: #pˌulecˈɛllɑ#} | *#pˌulecˈɛllɑ# | *#pˌʉlet͡sʲˈɛlla# | *#pˌʉlt͡sʲˈɛlla# | *#pˌyɫt͡sʲˈɛlə# {GOLD: #pˌyɫt͡sˈɛlə#} | *#pˌysʲˈɛlə# {GOLD: #pˌysˈɛlə#} | *#pˌysˈɛlə# {GOLD: #pˌysˈɛlə#} | *#pysɛl# {GOLD: #pysɛl#}
161    | #ˌuːst̪iˈɑːrium# | *#ˌust͡sʲʝˈɑrʝo# {GOLD: #ˌust͡sʲʝˈɑrʝo#} | *#ˌust͡sʲˈɑrʝo# | *#ˌʉsʲsʲˈie̯rʲo# | *#ˌʉjsʲˈie̯r# | *#ˌyjsʲˈie̯r# {GOLD: #ˌyjsˈie̯r#} | *#ɥˌisʲjˈer# {GOLD: #ɥˌisjˈer#} | *#ɥˌisˈer# {GOLD: #ɥˌisˈer#} | *#ɥise# {GOLD: #ɥisje#}
162    | #ˌeksfrˌuːkt̪ˈɑre# | *#ˌɛsfrˌuxt̪ˈɑrɛ# {GOLD: #ˌesfrˌuxt̪ˈɑrɛ#} | *#ˌɛsfrˌuxt̪ˈɑːrɛ# | *#ˌɛsfrˌʉçt̪ʲˈie̯rɛ# | *#ˌesfrˌʉçt̪ʲˈie̯r# | *#ˌezfrˌyjt̪ʲˈie̯r# {GOLD: #ˌezfrˌyjt̪ˈie̯r#} | *#ˌefrɥˌit̪ʲjˈer# {GOLD: #ˌefrɥˌit̪jˈer#} | *#ˌefrˌit̪ˈer# {GOLD: #ˌefrˌit̪ˈer#} | *#efʁit̪e# {GOLD: #efʁit̪e#}
163    | #ˈɑwrum# | *#ˈɑwro# {GOLD: #ˈɑwro#} | *#ˈɑwro# | *#ˈɔwro# | *#ˈɔr# | *#ˈɔr# {GOLD: #ˈɔr#} | *#ˈɔr# {GOLD: #ˈɔr#} | *#ˈɔr# {GOLD: #ˈɔr#} | *#ɔʁ# {GOLD: #ɔʁ#}
164    | #pˈɑwper# | *#pˈɑwpɛr# {GOLD: #pˈɑwpɛr#} | *#pˈɑwpɛr# | *#pˈɔwpɛr# | *#pˈɔvrə# | *#pˈɔvrə# {GOLD: #pˈɔvrə#} | *#pˈɔvrə# {GOLD: #pˈɔvrə#} | *#pˈoːvrə# {GOLD: #pˈoːvrə#} | *#pɔvʁ# {GOLD: #povʁ#}
165    | #kˈɑwsɑm# | *#kˈɑwsɑ# {GOLD: #kˈɑwsɑ#} | *#kˈɑwsɑ# | *#kʲˈɔwza# | *#t͡ʃˈɔza# | *#t͡ʃˈɔzə# {GOLD: #t͡ʃˈɔzə#} | *#ʃˈɔzə# {GOLD: #ʃˈɔzə#} | *#ʃˈoːzə# {GOLD: #ʃˈoːzə#} | *#ʃoz# {GOLD: #ʃoz#}
166    | #ɡˈɑwt̪ɑm# | *#ɡˈɑwt̪ɑ# {GOLD: #ɡˈɑwt̪ɑ#} | *#ɡˈɑwt̪ɑ# | *#ɡʲˈɔwt̪a# | *#d͡ʒˈɔwða# | *#d͡ʒˈɔwðə# {GOLD: #d͡ʒˈɔwðə#} | *#ʒˈuə# {GOLD: #ʒˈuə#} | *#ʒˈuː# {GOLD: #ʒˈuː#} | *#ʒu# {GOLD: #ʒu#}
167    | #sˈɑɡmɑm# | *#sˈɑwmɑ# {GOLD: #sˈɑwmɑ#} | *#sˈɑwmɑ# | *#sˈɔwma# | *#sˈũma# | *#sˈũmə# {GOLD: #sˈumə#} | *#sˈũmə# {GOLD: #sˈũmə#} | *#sˈũmə# {GOLD: #sˈũmə#} | *#sɔm# {GOLD: #sɔm#}
168    | #ɡˈɑwd̪iɑ# | *#ɡˈɑwʝʝɑ# {GOLD: #ɡˈɑwʝʝɑ#} | *#ɡˈɑwʝʝɑ# | *#ɡʲˈɔwʝa# | *#d͡ʒˈɔja# | *#d͡ʒˈɔjə# {GOLD: #d͡ʒˈɔjə#} | *#ʒwˈɛə# {GOLD: #ʒwˈɛə#} | *#ʒwˈɛː# {GOLD: #ʒwˈɛː#} | *#ʒwa# {GOLD: #ʒwɑ#}
169    | #lˌɑwrˈɑːrium# | *#lˌɑwrˈɑrʝo# {GOLD: #lˌɑwrˈɑrʝo#} | *#lˌɑwrˈɑrʝo# | *#lˌɔwrˈaːrʲo# | *#lˌɔrˈie̯r# | *#lˌɔrˈie̯r# {GOLD: #lˌɔrˈie̯r#} | *#lˌɔrjˈer# {GOLD: #lˌɔrjˈer#} | *#lˌɔrjˈer# {GOLD: #lˌɔrjˈer#} | *#lɔʁje# {GOLD: #lɔʁje#}
170    | #ˌɑwsˈɑːre# | *#ˌɑwsˈɑrɛ# {GOLD: #ˌɑwsˈɑrɛ#} | *#ˌɑwsˈɑːrɛ# | *#ˌɔwzˈaːrɛ# | *#ˌɔzˈae̯r# | *#ˌɔzˈeːr# {GOLD: #ˌɔzˈeːr#} | *#ˌɔzˈer# {GOLD: #ˌɔzˈer#} | *#ˌoːzˈer# {GOLD: #ˌoːzˈer#} | *#oze# {GOLD: #oze#}
171    | #lˌɑwd̪ˈɑːre# | *#lˌɑwd̪ˈɑrɛ# {GOLD: #lˌɑwd̪ˈɑrɛ#} | *#lˌɑwd̪ˈɑːrɛ# | *#lˌɔwd̪ˈaːrɛ# | *#lˌɔwðˈae̯r# | *#lˌɔwðˈeːr# {GOLD: #lˌɔwðˈeːr#} | *#lˌuˈer# {GOLD: #lˌuˈer#} | *#lˌuˈer# {GOLD: #lˌuˈer#} | *#lwe# {GOLD: #lwe#}
