etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
23     | #kˈeːrɑm# | *#cˈerɑ# {GOLD: #cˈerɑ#} | *#cˈeːrɑ# | *#t͡sʲˈiːra# | *#t͡sʲˈiːra# | *#t͡sʲˈirə# {GOLD: #t͡sˈirə#} | *#sʲˈirə# {GOLD: #sˈirə#} | *#sˈirə# {GOLD: #sˈirə#} | *#siʁ# {GOLD: #siʁ#}
24     | #rˌɑkˈeːmum# | *#rˌɑcˈemo# {GOLD: #rˌɑcˈemo#} | *#rˌɑcˈeːmo# | *#rˌat͡sʲˈiːmo# | *#rˌajd͡zʲˈiːm# | *#rˌajd͡zʲˈin̪# {GOLD: #rˌajzˈin̪#} | *#rˌɛzʲˈĩn̪# {GOLD: #rˌɛzˈĩn̪#} | *#rˌɛzˈẽː# {GOLD: #rˌɛzˈẽː#} | *#ʁɛzɛ̃# {GOLD: #ʁɛzɛ̃#}
25     | #pˌɑrˈikulum# | *#pˌɑrˈeklo# {GOLD: #pˌɑrˈeklo#} | *#pˌɑrˈeːklo# | *#pˌarˈeçʎo# | *#pˌarˈeʎ# | *#pˌarˈeʎ# {GOLD: #pˌarˈeʎ#} | *#pˌarˈɛʎ# {GOLD: #pˌarˈeʎ#} | *#pˌarˈɛʎ# {GOLD: #pˌarˈɛʎ#} | *#paʁɛj# {GOLD: #paʁɛj#}
26     | #ˌin̪sˈiɡn̪iɑm# | *#ˌen̪sˈeŋn̪ʝɑ# {GOLD: #ˌen̪sˈeŋn̪ʝɑ#} | *#ˌen̪sˈeŋɲɑ# | *#ˌen̪sˈeɲɲa# | *#ˌen̪sˈeɲɲa# | *#ˌẽn̪sˈẽj̃ɲə# {GOLD: #ˌẽn̪sˈẽj̃ɲə#} | *#ˌãn̪sˈɛ̃j̃ɲə# {GOLD: #ˌãn̪sˈɛ̃j̃ɲə#} | *#ˌãːsˈɛ̃ɲə# {GOLD: #ˌãːsˈɛ̃ɲə#} | *#ɑ̃sɛɲ# {GOLD: #ɑ̃sɛɲ#}
27     | #fˈin̪kt̪um# | *#fˈeŋt̪o# {GOLD: #fˈeŋt̪o#} | *#fˈeŋt̪o# | *#fˈeɲt̪ʲo# | *#fˈeɲt̪# | *#fˈẽj̃n̪t̪# {GOLD: #fˈẽj̃n̪t̪#} | *#fˈɛ̃j̃n̪t̪# {GOLD: #fˈɛ̃j̃n̪t̪#} | *#fˈɛ̃ːt̪# {GOLD: #fˈɛ̃ːt̪#} | *#fɛ̃# {GOLD: #fɛ̃#}
28     | #t̪ˈeːkt̪um# | *#t̪ˈext̪o# {GOLD: #t̪ˈext̪o#} | *#t̪ˈext̪o# | *#t̪ˈeçt̪ʲo# | *#t̪ˈeçt̪# | *#t̪ˈejt̪# {GOLD: #t̪ˈejt̪#} | *#t̪wˈɛt̪# {GOLD: #t̪wˈɛt̪#} | *#t̪wˈɛt̪# {GOLD: #t̪wˈɛt̪#} | *#t̪wa# {GOLD: #t̪wɑ#}
29     | #rˈiɡid̪ɑm# | *#rˈeɡd̪ɑ# {GOLD: #rˈeʝd̪ɑ#} | *#rˈeɡd̪ɑ# | *#rˈeʝd̪ʲa# | *#rˈejd̪a# | *#rˈejd̪ə# {GOLD: #rˈejd̪ə#} | *#rˈɛd̪ə# {GOLD: #rwˈɛd̪ə#} | *#rˈɛd̪ə# {GOLD: #rˈɛd̪ə#} | *#ʁɛd̪# {GOLD: #ʁɛd̪#}
30     | #sˈept̪em# | *#sˈɛpt̪ɛ# {GOLD: #sˈɛpt̪ɛ#} | *#sˈɛpt̪ɛ# | *#sˈɛt̪t̪ɛ# | *#sˈɛt̪t̪# | *#sˈɛt̪# {GOLD: #sˈɛt̪#} | *#sˈɛt̪# {GOLD: #sˈɛt̪#} | *#sˈɛt̪# {GOLD: #sˈɛt̪#} | *#sɛ# {GOLD: #sɛt̪#}
31     | #t̪ˈempus# | *#t̪ˈɛmpos# {GOLD: #t̪ˈɛmpos#} | *#t̪ˈɛmpos# | *#t̪ˈɛmpos# | *#t̪ˈɛms# | *#t̪ˈɛ̃ms# {GOLD: #t̪ˈɛ̃ms#} | *#t̪ˈãn̪s# {GOLD: #t̪ˈãn̪s#} | *#t̪ˈãːs# {GOLD: #t̪ˈãːs#} | *#t̪ɑ̃# {GOLD: #t̪ɑ̃#}
32     | #bˈellus# | *#bˈɛllos# {GOLD: #bˈɛllos#} | *#bˈɛllos# | *#bˈɛllos# | *#bˈɛlls# | *#bˈɛɫs# {GOLD: #bˈɛɫs#} | *#be̯ˈaws# {GOLD: #be̯ˈaws#} | *#bə̯ˈoːs# {GOLD: #bə̯ˈoːs#} | *#bo# {GOLD: #bo#}
